1401661553,362,
P,16,35005,35012,
P,16,35012,35426,
P,16,35013,35479,
P,16,35028,35013,
P,16,35014,35480,
P,16,35029,35014,
P,16,35015,35513,
P,16,35030,35015,
P,16,35016,35516,
P,16,35031,35016,
P,16,35017,35517,
P,16,35047,35017,
P,16,35018,35522,
P,16,35048,35018,
P,16,35019,35551,
P,16,35074,35019,
P,16,35026,35552,
P,16,35076,35026,
P,16,35027,35553,
P,16,35200,35027,
P,16,35032,35554,
P,16,35201,35032,
P,16,35033,35555,
P,16,35203,35033,
P,16,35050,35556,
P,16,35210,35050,
P,16,35142,35565,
P,16,35213,35142,
P,16,35143,35570,
P,16,35216,35143,
P,16,35185,35573,
P,16,35190,35574,
P,16,35232,35190,
P,16,35191,35595,
P,16,36611,35191,
P,16,35192,35602,
P,16,38079,35192,
P,17,35193,35603,
P,17,35195,35604,
P,17,38411,35195,
P,17,35302,35613,
P,17,38412,35302,
P,17,35303,35614,
P,17,38605,35303,
P,17,35338,35615,
P,17,38621,35338,
P,17,35341,35616,
P,17,35399,35617,
P,17,39140,35399,
P,4,35020,35089,
P,4,35020,35165,
P,4,35165,35089,
P,17,35402,35618,
P,17,39797,35402,
P,17,35403,35645,
P,17,39798,35403,
P,17,35414,35646,
P,17,40394,35414,
P,17,35487,36345,
P,17,40395,35487,
P,17,35492,36347,
P,17,40396,35492,
P,17,35493,36368,
P,17,40402,35493,
P,17,35494,36369,
P,17,40404,35494,
P,17,35495,36380,
P,17,40405,35495,
P,17,35496,36381,
P,17,41222,35496,
P,17,35549,36457,
P,17,41223,35549,
P,17,35550,36727,
P,17,41230,35550,
P,14,35649,36728,
P,14,41235,35649,
P,14,35650,37014,
P,14,42084,35650,
P,14,35651,40614,
P,14,42085,35651,
P,14,35652,40624,
P,14,42088,35652,
P,14,35657,40719,
P,14,42089,35657,
P,14,35660,40720,
P,14,42090,35660,
P,14,40171,42249,
P,14,42092,40171,
P,14,40172,42250,
P,14,42099,40172,
P,14,40173,42251,
P,14,42100,40173,
P,14,40174,42252,
P,14,42101,40174,
P,14,40175,42253,
P,14,42102,40175,
P,14,40176,42255,
P,14,42106,40176,
P,14,40177,42256,
P,14,42107,40177,
P,13,40178,42259,
P,13,42111,40178,
P,13,40179,46837,
P,13,40180,46838,
P,13,42113,40180,
P,13,40610,46839,
P,13,42114,40610,
P,13,40613,46840,
P,13,42116,40613,
P,13,40698,46843,
P,13,42117,40698,
